jɐp	hit with a stick
tʰin	liver
na	ear
tʰen	cause to dry
kʰɐk	breath
cuj	burn; burning fire
riŋ	be alive
rɐm	land
kap	shoot
tʰum	three
paŋ	hand
tsɐŋ	enter
wuk	belly
ok	rat
cuj	burn; burning fire
ʃur	follow
rum	add together, together
tʰaw	fat
tʰuk	deep
sam	hair (on head)
sa	hot/spicy/pungent
tɐŋ	pine
ʃuŋ	correct
hut	leech
ʃa	thick
rɐk	make a basket; to weave
kɐj	bite
kʰa	cough
ʃok	emerge, exit, occur, happen; do in exiting/emerging path (postp.)
kuu	insect
nɐp	stick (v.)
lej	exist, have, be
kej	bite
luŋ	heart
kʰut	smoke
ru	grandchild
caj	lip
pʰa	snake (ph´$
tsar	male's younger sister
tʰiŋ	tree/wood/stick
kʰaj	crab
wo	great grandfather
wo	great grandfather
ʃaj	eat
miŋ	name
la	bow, arrow
tsa	eat (e.g. rice)
ko	nine
lej	earth
wan	flower
ci	horn
vu	carry on shoulders
co	spit
muk	cattle
nu	breast
kʰa	bitter
kum	year
ci	horn
sɐm	hair (head)
ri	intestines
li	steal
kup	finish
ru	water
pʰuŋ	mountain
ni	mother-in-law
ʃim	house
cap	weep, cry
cɐp	weep, cry
co	spit
hɐn	expect
na	nose
hok	pig
ku	insect/bug/vermin
kʰaj	knife
ŋun	corpse
kʰa	chin
tʰuj	awaken, wake up, leave, sprout (plant)
tɐt	cut (meat)
wo	grandfather
tuj	word/speech
wo	grandfather
pʰej	foot
hɐn	curry
min	ripe/well-cooked
tʰur	sour; bitter (person)
kor	bark
kɐj	bite
lo	buy
cuj	burn
kʰam	door
juj	leftside
ta	fall (from a height)
ci	horn
ha	tooth
ruŋ	pound
hur	fan
naj	knead
tsa	ill
ha	hair (on body)
mej	comparative degree
ri	medicine
kʰur	anus
sa	do/make
kʰot	scratch/scrape
tsej	spear
tʰi	die
ru	egg
cuj	burn, ignite
ri	intestines (ak´ri)
lum	warm
pʰar	lung
lɐt	self
caŋ	moon
wo	father-in-law
kuj	pestle
cuŋ	many, a lot of
sam	rice (hulled)
ru	snake
pɐm	sit
cap	weep, cry
puj	full
nu	laugh
var	mushroom
tsa	eat (rice)
tsa	eat (rice)
ri	son-in-law
hut	leech
vuk	belly
jɐk	ashamed
co	saliva (-co 'spit' + -ru 'water')
pʰew	wash (hands)
ci	horn
laj	forget
ha	axe
ci	salt
tʰɐk	kick
ŋum	round
kɐj	bite
tʰak	kick
paŋ	hand
ʃim	mortar
wo	uncle (mothers brother)
ŋom	bear
tsar	male's younger sister
mi	give
cuj	burn, ignite
tʰuj	awaken
pʰej	foot
ʃim	sweet
veŋ	lightweight
mɐŋ	dream
ca	ant
paj	can/be easy
wo	uncle (mothers brother)
mej	fire
suj	tempt
sa	body
ʃu	dove
wo	grandfather
si	water buffalo, mathun
paŋ	hand/arm
tʰu	exchange
rɐr	uncle (fathers older brother)
kʰa	chin
tok	brain
tsa	eat
paŋ	arm
ʃok	come out
nɐ	thou
nɐm	deceive
la	daughter
kap	shoot one another
kʰur	anus
vak	rightside
tʰej	know/see
kʰuk	knee
la	ashes
kor	bark
kʰop	sew, stitch
ra	sharpen
sam	hair (on head)
va	father
kuu	insect
rew	crab
ta	be far off
con	help
wo	father-in-law
maj	face
tsat	rice (cooked)
reŋ	hunt animals
luj	field
