wuk	belly (exterior)	wuʔ	belly; abdomen
ha	tooth	we	tooth
kʰoŋ	neck	kʰu	neck
hɐr	fowl	ho	chicken/fowl (general term)
kʰaw	grasshopper	kow	grasshopper
mej	tail	mu	tail
lej	earth	lu	earth/ground/dry land (vs. water)
tʰin	liver	tʰɐn	liver
cuj	tall	tsow	tall
nɐp	snot	naʔ	snot; mucous
jor	sell	ju	sell
si	blood	sik	blood
si	blood	sik	bleed (v.)
naw	child	now	child
ca	ant	tse	ant
sɐm	hair (head)	sam	hair (general)
sɐm	hair (head)	sam	hair (head)
sɐm	hair (head)	sam	hair of head
rew	crab	row	crab
kʰaj	crab	kʰej	crab
kʰaj	crab	kʰej	fish
lo	buy	lu	buy
lum	warm	lɐm	warm
kʰaj	fish	kʰej	fish (general)
saŋ	long	si	long
ru	snake	rɐŋ	snake
pʰə	snake	rɐŋ	snake
pim	needle	pem	needle
pʰuŋ	mountain	pʰuŋ	mountain
tʰiŋ	tree/wood/stick	tʰɐŋ	tree
kuj	head	kow	head
naj	near	nej	near
ci	horn	tsik	horn; antler
ci	horn	tsik	horn
pʰa	seek/search	pʰe	seek/search
lej	squirrel	lu	squirrel
taj	pound/crush	kʰej	pound/crush
naj	knead	nej	twist/knead
puj	full	pu	full/complete
tʰik	chest	tʰoʔ	chest
tsa	eat (rice)	tse	eat
tsa	eat (rice)	tse	eat
cor	spit	tsɐr	spit
ni	seven	nik	seven
kʰum	back	kʰɐm	back
kʰum	back	ʔa	back
sa	body	se	animal
sa	body	se	flesh; meat
sa	body	ʃe	body
ruk	six	ruʔ	six
ʃok	emerge	suʔ	emerge
ʃok	emerge	suʔ	produce/emerge
ʃok	emerge	suʔ	exit
ra	sharpen	re	sharpen
tɐt	cut (meat)	kejʔ	cut
caj	lip	tse	lower lip
ŋun	corpse	ŋun	corpse
rɐm	otter	ram	otter
sa	do/make	se	do
mɐŋ	dream	mo	dream
ni	aunt (fathers sister)	nik	mother-in-law
naj	pus	nej	pus
kum	year	kɐm	year
fu	elephant	huk	elephant
kʰa	chin	kʰe	chin
kʰa	chin	kʰe	jawbone
maj	face	mej	face
tsej	spear	tsu	spear
rɐm	land	ram	village
hɐk	big	hoʔ	big
ri	son-in-law	re	son-in-law
ru	grandchild	ruk	grandchild
ru	grandchild	ruk	grandchild (nephew)
wo	uncle (mothers brother)	vuk	father-in-law
wo	uncle (mothers brother)	vuk	grandfather/father-in-law
wo	uncle (mothers brother)	vuk	maternal grandfather
kʰam	door	kʰɐm	door
paŋ	hand/arm	vej	hand; arm
ni	mother-in-law	nik	mother-in-law
nu	breast	nuk	breast
vu	carry on shoulders	vuk	carry (on shoulders)
ha	axe	we	axe
ha	axe	r	axe
ha	axe	rwe	axe
kʰej	crooked/bent	kʰu	crooked
mak	brother-in-law	maʔ	brother-in-law
wo	grandfather	vuk	grandfather/father-in-law
wo	grandfather	vuk	maternal grandfather
wo	grandfather	vuk	father-in-law
wo	father-in-law	vuk	father-in-law
wo	father-in-law	vuk	grandfather/father-in-law
wo	father-in-law	vuk	maternal grandfather
tʰaw	drive	tʰow	drive
wo	great grandfather	vuk	father-in-law
wo	great grandfather	vuk	grandfather/father-in-law
wo	great grandfather	vuk	maternal grandfather
paj	can/be easy	pej	easy
pʰej	foot	pʰu	foot; leg
pʰej	foot	pʰu	foot
pʰej	foot	pʰu	leg
pʰej	foot	ʔa	calf
pʰej	foot	ʔa	calf (of leg)
hɐn	expect	hej	expect
tʰej	fruit	tʰu	fruit
lej	tongue	lu	tongue
kʰɐk	breath	kʰoʔ	breath
mej	comparative degree	mu	more than (comparative degree)
ʃɐŋ	penis	so	penis
pʰɐn	blow	pʰej	blow
huj	wither/fade	hu	wither
ʃɐŋ	clothes	sɐŋ	clothes
ʃut	rub	sejʔ	rub
muk	cattle	muʔ	cattle/cow
muk	cattle	muʔ	cow
si	comb	sik	comb
tsɐŋ	enter	tso	enter
ri	blow	lik	blow
ri	blow	kə	blow
ri	blow	lik	blow (mouth)
lɐp	tie	reʔ	tie
reŋ	hunt animals	re	hunt
ʃim	mortar	suŋ	mortar
tʰuj	awaken	tʰow	awaken
muj	cloud	mu	cloud
nɐp	stick (v.)	naʔ	stick (v.)
wok	burst off (bottle)	wuʔ	burst
ʃuj	decay	su	decay
ʃo	open (door)	su	open
ʃok	come out	suʔ	emerge
ʃok	come out	suʔ	produce/emerge
ʃok	come out	suʔ	exit
sɐk	be difficult	soʔ	difficult/cold
ka	open (mouth)	ke	open the mouth
kap	shoot one another	kaʔ	shoot (v.)
kap	shoot one another	kaʔ	shoot
kʰa	be bitter	kʰe	bitter
kʰok	be deaf	kʰɐ	deaf
nuj	fry	now	fry
cɐp	weep, cry	tsaʔ	weep
tʰuj	wake up from sleeping	tʰow	awaken
tʰen	dry	tʰe	dry
tʰen	cause to dry	tʰe	dry
nɯ	laugh	nuk	laugh
nɯ	laugh	nuk	smile; laugh
nɯ	laugh	nuk	smile; laugh
nɐm	be low	nem	low
paj	be shallow	pej	shallow
pʰa	search	pʰe	seek/search
riŋ	be alive	rɐŋ	alive
riŋ	be alive	rɐŋ	alive; be living
kʰə	burn the feathers of a fowl	kʰə	burn
kʰə	burn the feathers of a fowl	kʰə	burn/be on fire (v.i.)
ru	chop off; dig with a spade	ruk	chop
lo	vomit	lu	to vomit
tʰi	die for something	tik	be numb/ be paralyzed
tʰi	die for something	tik	die; be dead
tʰi	die for something	tik	carcass
cɐp	weep for someone	tsaʔ	weep
sɯ	tie	suk	tie
tsa	be sick	tse	be sick/be ill/hurt
tsa	be sick	tsow	hot
tsim	suck	tsɐm	suck (v.) (as a leech)
rɐk	make a basket; to weave	roʔ	weave
rɐk	make a basket; to weave	roʔ	weaver
rɐk	make a basket; to weave	roʔ	weave
ja	be respectable	je	respect
jam	run away	jam	run/flee
cik	wash hands	tsoʔ	wash
sa	hot/spicy/pungent	tse	be sick/be ill/hurt
sa	hot/spicy/pungent	tsow	hot
kʰaj	scoop out	kʰej	scoop out/dish out
ʃok	scoop out	kʰej	scoop out/dish out
wuk	belly	wuʔ	belly
wuk	belly	wuʔ	belly (exterior)
wuk	belly	wuʔ	belly; abdomen
ma	wound	mi	scar
tek	green	keʔ	green
kej	kidney	kej	kidney
kʰow	dirty	kʰow	dirty
ruj	toast	row	roast
